Date,Exercise,Set,Weight,Reps,Time,Distance,Completed
2024-04-04,Dumbbell Squats,1,23,5,,,
2024-04-04,Dumbbell Squats,2,23,5,,,
2024-04-04,Dumbbell Squats,3,23,5,,,
2024-04-04,Dumbbell Squats,4,23,5,,,
2024-04-04,Dumbbell Squats,5,23,5,,,
2024-04-04,Incline Dumbbell Press,1,23,5,,,
2024-04-04,Incline Dumbbell Press,2,23,5,,,
2024-04-04,Incline Dumbbell Press,3,23,5,,,
2024-04-04,Incline Dumbbell Press,4,23,5,,,
2024-04-04,Incline Dumbbell Press,5,23,5,,,
2024-04-04,Dumbbell Shoulder Press,1,11,5,,,
2024-04-04,Dumbbell Shoulder Press,2,11,5,,,
2024-04-04,Dumbbell Shoulder Press,3,11,5,,,
2024-04-04,Dumbbell Shoulder Press,4,11,5,,,
2024-04-04,Dumbbell Shoulder Press,5,11,5,,,
2024-04-04,Shoulder Supersets,1,0,0,,,
2024-04-04,Shoulder Supersets,2,0,0,,,
2024-04-04,Shoulder Supersets,3,0,0,,,
2024-04-04,Shoulder Supersets,4,0,0,,,
2024-04-04,Shoulder Supersets,5,0,0,,,
2024-04-04,Shoulder Supersets,1,8,10,,,
2024-04-04,Shoulder Supersets,2,8,10,,,
2024-04-04,Shoulder Supersets,3,8,10,,,
2024-04-04,Shoulder Supersets,4,8,10,,,
2024-04-04,Shoulder Supersets,5,8,10,,,
2024-04-04,Dumbbell Squats,1,23,5,,,True
2024-04-04,Dumbbell Squats,2,23,5,,,False
2024-04-04,Dumbbell Squats,3,23,5,,,False
2024-04-04,Dumbbell Squats,4,23,5,,,False
2024-04-04,Dumbbell Squats,5,23,5,,,False
